zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
85098,UNIQUE,0,Phoenix,Ctc,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.44,-112.12,0
85099,UNIQUE,1,Phoenix,,Arizona State Lottery,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-111.97,0
85117,STANDARD,0,Apache Junction,Apache Jct,,AZ,Pinal County,America/Phoenix,480,NA,US,33.42,-111.54,0
85118,STANDARD,0,Gold Canyon,"Apache Jct, Apache Junction, Queen Valley, Superstition Mountain, Superstition Mtn, Suprstitn Mtn",,AZ,Pinal County,America/Phoenix,"928,520",NA,US,33.34,-111.42,8990
85119,STANDARD,0,Apache Junction,Apache Jct,,AZ,Pinal County,America/Phoenix,480,NA,US,33.38,-111.51,15010
85120,STANDARD,0,Apache Junction,Apache Jct,,AZ,Pinal County,America/Phoenix,480,NA,US,33.4,-111.56,19750
85121,STANDARD,0,Bapchule,,Sacaton,AZ,Pinal County,America/Phoenix,520,NA,US,33.14,-111.92,0
85122,STANDARD,0,Casa Grande,"Eleven Mile, Eleven Mile Corner",,AZ,Pinal County,America/Phoenix,"480,520",NA,US,32.91,-111.74,42470
85123,STANDARD,0,Arizona City,,Casa Grande,AZ,Pinal County,America/Phoenix,520,NA,US,32.73,-111.67,0
85127,STANDARD,0,Chandler Heights,Chandler Hts,Queen Creek,AZ,Maricopa County,America/Phoenix,"480,520",NA,US,33.21,-111.69,0
85128,STANDARD,0,Coolidge,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.97,-111.49,12120
85130,STANDARD,0,Casa Grande,,,AZ,Pinal County,America/Phoenix,"480,520",NA,US,32.89,-111.75,0
85131,STANDARD,0,Eloy,Toltec,,AZ,Pinal County,America/Phoenix,520,NA,US,32.65,-111.59,9340
85132,STANDARD,0,Florence,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.95,-111.23,14910
85135,STANDARD,0,Hayden,,,AZ,Gila County,America/Phoenix,520,NA,US,33,-110.79,0
85137,STANDARD,0,Kearny,,,AZ,Pinal County,America/Phoenix,520,NA,US,33.1,-110.97,1720
85138,STANDARD,0,Maricopa,,,AZ,Pinal County,America/Phoenix,520,NA,US,33.01,-111.97,31810
85139,STANDARD,0,Maricopa,Mobile,,AZ,Pinal County,America/Phoenix,520,NA,US,32.98,-112.11,16170
85140,STANDARD,0,San Tan Valley,"Queen Creek, San Tan Vly",,AZ,Pinal County,America/Phoenix,520,NA,US,33.24,-111.54,32630
85141,STANDARD,0,Picacho,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.71,-111.49,320
85142,STANDARD,0,Queen Creek,"Chandler Heights, Chandler Hts, San Tan Valley, San Tan Vly",,AZ,Maricopa County,America/Phoenix,"520,480",NA,US,33.16,-111.59,57090
85143,STANDARD,0,San Tan Valley,"Queen Creek, San Tan Vly",,AZ,Pinal County,America/Phoenix,,NA,US,33.16,-111.56,31750
85145,STANDARD,0,Red Rock,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.57,-111.36,1950
85147,STANDARD,0,Sacaton,,,AZ,Pinal County,America/Phoenix,,NA,US,33.08,-111.74,0
85172,STANDARD,0,Stanfield,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.93,-111.92,2240
85173,STANDARD,0,Superior,,,AZ,Pinal County,America/Phoenix,"520,928",NA,US,33.28,-111.1,1990
85178,STANDARD,0,Apache Junction,Apache Jct,,AZ,Pinal County,America/Phoenix,480,NA,US,33.42,-111.54,0
85190,STANDARD,0,Tortilla Flat,,"Apache Jct, Apache Junction",AZ,Maricopa County,America/Phoenix,480,NA,US,33.52,-111.38,0
85191,STANDARD,0,Valley Farms,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.98,-111.44,0
85192,STANDARD,0,Winkelman,Dudleyville,,AZ,Pinal County,America/Phoenix,520,NA,US,32.88,-110.66,1110
85193,STANDARD,0,Casa Grande,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.86,-111.83,2860
85194,STANDARD,0,Casa Grande,,,AZ,Pinal County,America/Phoenix,"480,520",NA,US,32.91,-111.65,4840
85201,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,"480,928",NA,US,33.44,-111.85,40440
85202,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,"480,928",NA,US,33.38,-111.87,33640
85203,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.44,-111.8,32920
85204,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.39,-111.78,56110
85205,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.43,-111.71,33170
85206,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.39,-111.71,27330
85207,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.45,-111.64,39600
85208,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.4,-111.63,28390
85209,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.37,-111.64,32960
85210,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,"480,928",NA,US,33.38,-111.84,33830
85211,PO BOX,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.44,-111.84,1774
85212,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.33,-111.63,30300
85213,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.44,-111.76,29320
85214,PO BOX,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.39,-111.78,874
85215,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.51,-111.58,13470
85216,PO BOX,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.39,-111.72,1165
85217,STANDARD,1,Apache Junction,Apache Jct,,AZ,Pinal County,America/Phoenix,480,NA,US,33.32,-111.32,1587
85218,STANDARD,1,Apache Junction,"Suprston Mtn, Superstition Mtn, Gold Canyon, Apache Jct, Queen Valley",,AZ,Pinal County,America/Phoenix,480,NA,US,33.35,-111.41,9960
85219,STANDARD,1,Apache Junction,"Apache Jct, Tortilla Flat",,AZ,Pinal County,America/Phoenix,480,NA,US,33.4,-111.46,15473
85220,STANDARD,1,Apache Junction,Apache Jct,,AZ,Pinal County,America/Phoenix,480,NA,US,33.41,-111.57,20550
85221,PO BOX,1,Bapchule,,,AZ,Pinal County,America/Phoenix,520,NA,US,33.12,-111.9,1613
85222,STANDARD,1,Casa Grande,"Eleven Mile, Eleven Mile Corner",,AZ,Pinal County,America/Phoenix,520,NA,US,32.87,-111.73,39954
85223,STANDARD,1,Arizona City,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.74,-111.68,7294
85224,STANDARD,0,Chandler,,,AZ,Maricopa County,America/Phoenix,"480,520,602,623",NA,US,33.32,-111.87,40680
85225,STANDARD,0,Chandler,,,AZ,Maricopa County,America/Phoenix,"480,520,602,623",NA,US,33.32,-111.82,64370
85226,STANDARD,0,Chandler,,,AZ,Maricopa County,America/Phoenix,"480,520,602,623",NA,US,33.27,-111.94,35590
85227,STANDARD,1,Chandler Heights,"Chandler Hts, Queen Creek",,AZ,Maricopa County,America/Phoenix,480,NA,US,33.34,-111.63,509
85228,STANDARD,1,Coolidge,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.96,-111.52,10507
85230,STANDARD,1,Casa Grande,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.87,-111.75,3147
85231,STANDARD,1,Eloy,Toltec,,AZ,Pinal County,America/Phoenix,,NA,US,32.71,-111.57,8236
85232,STANDARD,1,Florence,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.96,-111.31,8795
85233,STANDARD,0,Gilbert,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.34,-111.81,35000
85234,STANDARD,0,Gilbert,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.36,-111.75,46960
85235,PO BOX,1,Hayden,,,AZ,Gila County,America/Phoenix,928,NA,US,32.99,-110.78,599
85236,STANDARD,0,Higley,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.33,-111.71,13696
85237,STANDARD,1,Kearny,,,AZ,Pinal County,America/Phoenix,,NA,US,33.09,-110.97,2044
85238,STANDARD,1,Maricopa,,,AZ,Pinal County,America/Phoenix,520,NA,US,33,-111.93,2335
85239,STANDARD,1,Maricopa,Mobile,,AZ,Pinal County,America/Phoenix,520,NA,US,33.02,-112.04,28233
85240,STANDARD,1,Queen Creek,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.22,-111.53,1691
85241,PO BOX,1,Picacho,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.71,-111.49,413
85242,STANDARD,1,Queen Creek,"Chandler Hts, Chandler Heights",,AZ,Maricopa County,America/Phoenix,480,NA,US,33.22,-111.61,50207
85243,STANDARD,1,Queen Creek,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.15,-111.54,19706
85244,PO BOX,0,Chandler,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.23,-111.76,1855
85245,PO BOX,1,Red Rock,,,AZ,Pinal County,America/Phoenix,,NA,US,32.62,-111.37,130
85246,PO BOX,0,Chandler,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.29,-111.86,981
85247,PO BOX,1,Sacaton,,,AZ,Pinal County,America/Phoenix,520,NA,US,33.1,-111.75,4155
85248,STANDARD,0,Chandler,Sun Lakes,,AZ,Maricopa County,America/Phoenix,"480,520",NA,US,33.21,-111.87,30220
85249,STANDARD,0,Chandler,,,AZ,Maricopa County,America/Phoenix,"480,520",NA,US,33.24,-111.78,41180
85250,STANDARD,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.53,-111.89,14110
85251,STANDARD,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,"480,602",NA,US,33.49,-111.92,30660
85252,PO BOX,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.48,-111.92,1276
85253,STANDARD,0,Paradise Valley,"Paradise Vly, Scottsdale",,AZ,Maricopa County,America/Phoenix,,NA,US,33.54,-111.96,14960
85254,STANDARD,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.61,-111.94,43410
85255,STANDARD,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.66,-111.87,38260
85256,STANDARD,0,Scottsdale,,,AZ,Maricopa County,America/Phoenix,"480,520,602,623,928",NA,US,33.5,-111.79,4300
